Maximum,60.2,@,No.1980,,,,,,
130,16.8,gf,0.207,mm,OK,--,3:15:22 PM,4/11/2026,
131,16.3,gf,0.208,mm,OK,--,3:15:22 PM,4/11/2026,
132,16.3,gf,0.210,mm,OK,--,3:15:22 PM,4/11/2026,
133,17.2,gf,0.212,mm,OK,--,3:15:22 PM,4/11/2026,
134,16.9,gf,0.213,mm,OK,--,3:15:22 PM,4/11/2026,
135,17.5,gf,0.215,mm,OK,--,3:15:22 PM,4/11/2026,
136,17.7,gf,0.216,mm,OK,--,3:15:22 PM,4/11/2026,
137,17.9,gf,0.218,mm,OK,--,3:15:22 PM,4/11/2026,
138,17.6,gf,0.220,mm,OK,--,3:15:22 PM,4/11/2026,
139,18.0,gf,0.221,mm,OK,--,3:15:22 PM,4/11/2026,
140,18.0,gf,0.223,mm,OK,--,3:15:22 PM,4/11/2026,
141,17.6,gf,0.224,mm,OK,--,3:15:22 PM,4/11/2026,
142,18.4,gf,0.226,mm,OK,--,3:15:22 PM,4/11/2026,
143,18.8,gf,0.228,mm,OK,--,3:15:22 PM,4/11/2026,
144,18.6,gf,0.229,mm,OK,--,3:15:22 PM,4/11/2026,
145,17.9,gf,0.231,mm,OK,--,3:15:22 PM,4/11/2026,
146,19.1,gf,0.232,mm,OK,--,3:15:22 PM,4/11/2026,
147,18.8,gf,0.234,mm,OK,--,3:15:22 PM,4/11/2026,
148,18.3,gf,0.235,mm,OK,--,3:15:22 PM,4/11/2026,
149,18.5,gf,0.237,mm,OK,--,3:15:22 PM,4/11/2026,
150,19.2,gf,0.239,mm,OK,--,3:15:22 PM,4/11/2026,
151,19.0,gf,0.240,mm,OK,--,3:15:22 PM,4/11/2026,
152,19.5,gf,0.242,mm,OK,--,3:15:22 PM,4/11/2026,
153,19.3,gf,0.243,mm,OK,--,3:15:22 PM,4/11/2026,
154,20.2,gf,0.245,mm,OK,--,3:15:22 PM,4/11/2026,
155,20.1,gf,0.247,mm,OK,--,3:15:22 PM,4/11/2026,
156,20.2,gf,0.248,mm,OK,--,3:15:22 PM,4/11/2026,
157,20.1,gf,0.250,mm,OK,--,3:15:22 PM,4/11/2026,
158,20.7,gf,0.251,mm,OK,--,3:15:22 PM,4/11/2026,
159,20.7,gf,0.253,mm,OK,--,3:15:22 PM,4/11/2026,
160,20.4,gf,0.255,mm,OK,--,3:15:22 PM,4/11/2026,
161,21.0,gf,0.256,mm,OK,--,3:15:22 PM,4/11/2026,
162,21.2,gf,0.258,mm,OK,--,3:15:22 PM,4/11/2026,
163,20.8,gf,0.259,mm,OK,--,3:15:22 PM,4/11/2026,
164,20.8,gf,0.261,mm,OK,--,3:15:22 PM,4/11/2026,
165,21.5,gf,0.263,mm,OK,--,3:15:22 PM,4/11/2026,
166,20.8,gf,0.264,mm,OK,--,3:15:22 PM,4/11/2026,
167,21.7,gf,0.266,mm,OK,--,3:15:22 PM,4/11/2026,
168,20.9,gf,0.267,mm,OK,--,3:15:22 PM,4/11/2026,
169,21.9,gf,0.269,mm,OK,--,3:15:22 PM,4/11/2026,
170,21.8,gf,0.270,mm,OK,--,3:15:22 PM,4/11/2026,
171,22.1,gf,0.272,mm,OK,--,3:15:22 PM,4/11/2026,
172,21.3,gf,0.274,mm,OK,--,3:15:22 PM,4/11/2026,
173,21.4,gf,0.275,mm,OK,--,3:15:22 PM,4/11/2026,
174,21.7,gf,0.277,mm,OK,--,3:15:22 PM,4/11/2026,
175,22.0,gf,0.278,mm,OK,--,3:15:22 PM,4/11/2026,
176,21.8,gf,0.280,mm,OK,--,3:15:22 PM,4/11/2026,
177,22.7,gf,0.282,mm,OK,--,3:15:22 PM,4/11/2026,
178,22.3,gf,0.283,mm,OK,--,3:15:22 PM,4/11/2026,
179,23.2,gf,0.285,mm,OK,--,3:15:22 PM,4/11/2026,
180,23.2,gf,0.286,mm,OK,--,3:15:22 PM,4/11/2026,
181,23.5,gf,0.288,mm,OK,--,3:15:22 PM,4/11/2026,
182,23.1,gf,0.290,mm,OK,--,3:15:22 PM,4/11/2026,
183,23.6,gf,0.291,mm,OK,--,3:15:22 PM,4/11/2026,
184,23.1,gf,0.293,mm,OK,--,3:15:22 PM,4/11/2026,
185,23.6,gf,0.294,mm,OK,--,3:15:22 PM,4/11/2026,
186,24.2,gf,0.296,mm,OK,--,3:15:22 PM,4/11/2026,
187,23.3,gf,0.298,mm,OK,--,3:15:22 PM,4/11/2026,
188,23.9,gf,0.299,mm,OK,--,3:15:22 PM,4/11/2026,
189,24.0,gf,0.301,mm,OK,--,3:15:22 PM,4/11/2026,
190,24.5,gf,0.302,mm,OK,--,3:15:22 PM,4/11/2026,
191,24.2,gf,0.304,mm,OK,--,3:15:22 PM,4/11/2026,
192,24.2,gf,0.305,mm,OK,--,3:15:22 PM,4/11/2026,
193,23.7,gf,0.307,mm,OK,--,3:15:22 PM,4/11/2026,
194,23.6,gf,0.309,mm,OK,--,3:15:22 PM,4/11/2026,
195,24.8,gf,0.310,mm,OK,--,3:15:22 PM,4/11/2026,
196,24.1,gf,0.312,mm,OK,--,3:15:22 PM,4/11/2026,
197,24.2,gf,0.313,mm,OK,--,3:15:22 PM,4/11/2026,
198,24.5,gf,0.315,mm,OK,--,3:15:22 PM,4/11/2026,
199,24.3,gf,0.317,mm,OK,--,3:15:22 PM,4/11/2026,
200,23.8,gf,0.318,mm,OK,--,3:15:22 PM,4/11/2026,
201,23.9,gf,0.320,mm,OK,--,3:15:22 PM,4/11/2026,
202,24.6,gf,0.321,mm,OK,--,3:15:22 PM,4/11/2026,
203,24.0,gf,0.323,mm,OK,--,3:15:22 PM,4/11/2026,
204,24.0,gf,0.325,mm,OK,--,3:15:22 PM,4/11/2026,
205,25.0,gf,0.326,mm,OK,--,3:15:22 PM,4/11/2026,
206,24.0,gf,0.328,mm,OK,--,3:15:22 PM,4/11/2026,
207,24.5,gf,0.329,mm,OK,--,3:15:22 PM,4/11/2026,
208,24.5,gf,0.331,mm,OK,--,3:15:22 PM,4/11/2026,
209,24.1,gf,0.333,mm,OK,--,3:15:22 PM,4/11/2026,
210,25.2,gf,0.334,mm,OK,--,3:15:22 PM,4/11/2026,
211,25.0,gf,0.336,mm,OK,--,3:15:22 PM,4/11/2026,
212,25.3,gf,0.337,mm,OK,--,3:15:22 PM,4/11/2026,
213,24.9,gf,0.339,mm,OK,--,3:15:22 PM,4/11/2026,
214,24.7,gf,0.340,mm,OK,--,3:15:22 PM,4/11/2026,
215,25.4,gf,0.342,mm,OK,--,3:15:22 PM,4/11/2026,
216,24.9,gf,0.344,mm,OK,--,3:15:22 PM,4/11/2026,
217,24.3,gf,0.345,mm,OK,--,3:15:22 PM,4/11/2026,
218,25.1,gf,0.347,mm,OK,--,3:15:22 PM,4/11/2026,
219,25.2,gf,0.348,mm,OK,--,3:15:22 PM,4/11/2026,
220,24.7,gf,0.350,mm,OK,--,3:15:22 PM,4/11/2026,
221,25.0,gf,0.352,mm,OK,--,3:15:22 PM,4/11/2026,
222,25.5,gf,0.353,mm,OK,--,3:15:22 PM,4/11/2026,
223,25.0,gf,0.355,mm,OK,--,3:15:22 PM,4/11/2026,
224,25.6,gf,0.356,mm,OK,--,3:15:22 PM,4/11/2026,
225,25.5,gf,0.358,mm,OK,--,3:15:22 PM,4/11/2026,
226,25.7,gf,0.360,mm,OK,--,3:15:22 PM,4/11/2026,
227,25.7,gf,0.361,mm,OK,--,3:15:22 PM,4/11/2026,
228,24.9,gf,0.363,mm,OK,--,3:15:22 PM,4/11/2026,
229,24.8,gf,0.364,mm,OK,--,3:15:22 PM,4/11/2026,
230,25.5,gf,0.366,mm,OK,--,3:15:22 PM,4/11/2026,
231,25.1,gf,0.367,mm,OK,--,3:15:22 PM,4/11/2026,
232,25.1,gf,0.369,mm,OK,--,3:15:22 PM,4/11/2026,
233,25.9,gf,0.371,mm,OK,--,3:15:22 PM,4/11/2026,
234,25.9,gf,0.372,mm,OK,--,3:15:22 PM,4/11/2026,
235,25.9,gf,0.374,mm,OK,--,3:15:22 PM,4/11/2026,
236,25.8,gf,0.375,mm,OK,--,3:15:22 PM,4/11/2026,
237,25.6,gf,0.377,mm,OK,--,3:15:22 PM,4/11/2026,
238,25.7,gf,0.379,mm,OK,--,3:15:22 PM,4/11/2026,
239,25.1,gf,0.380,mm,OK,--,3:15:22 PM,4/11/2026,
240,25.4,gf,0.382,mm,OK,--,3:15:22 PM,4/11/2026,
241,25.9,gf,0.383,mm,OK,--,3:15:22 PM,4/11/2026,
242,25.3,gf,0.385,mm,OK,--,3:15:22 PM,4/11/2026,
243,25.7,gf,0.387,mm,OK,--,3:15:22 PM,4/11/2026,
244,25.7,gf,0.388,mm,OK,--,3:15:22 PM,4/11/2026,
245,25.9,gf,0.390,mm,OK,--,3:15:22 PM,4/11/2026,
246,26.2,gf,0.391,mm,OK,--,3:15:22 PM,4/11/2026,
247,25.8,gf,0.393,mm,OK,--,3:15:22 PM,4/11/2026,
248,25.6,gf,0.395,mm,OK,--,3:15:22 PM,4/11/2026,
249,26.0,gf,0.396,mm,OK,--,3:15:22 PM,4/11/2026,
250,25.4,gf,0.398,mm,OK,--,3:15:22 PM,4/11/2026,
251,26.1,gf,0.399,mm,OK,--,3:15:22 PM,4/11/2026,
252,26.0,gf,0.401,mm,OK,--,3:15:22 PM,4/11/2026,
253,26.2,gf,0.403,mm,OK,--,3:15:22 PM,4/11/2026,
254,25.7,gf,0.404,mm,OK,--,3:15:22 PM,4/11/2026,
255,26.1,gf,0.406,mm,OK,--,3:15:22 PM,4/11/2026,
256,26.0,gf,0.407,mm,OK,--,3:15:22 PM,4/11/2026,
257,26.4,gf,0.409,mm,OK,--,3:15:22 PM,4/11/2026,
258,26.7,gf,0.410,mm,OK,--,3:15:22 PM,4/11/2026,
259,26.5,gf,0.412,mm,OK,--,3:15:22 PM,4/11/2026,
260,26.8,gf,0.414,mm,OK,--,3:15:22 PM,4/11/2026,
261,26.7,gf,0.415,mm,OK,--,3:15:22 PM,4/11/2026,
262,26.8,gf,0.417,mm,OK,--,3:15:22 PM,4/11/2026,
263,25.9,gf,0.418,mm,OK,--,3:15:22 PM,4/11/2026,
264,26.8,gf,0.420,mm,OK,--,3:15:22 PM,4/11/2026,
265,26.4,gf,0.422,mm,OK,--,3:15:22 PM,4/11/2026,
266,26.0,gf,0.423,mm,OK,--,3:15:22 PM,4/11/2026,
267,26.3,gf,0.425,mm,OK,--,3:15:22 PM,4/11/2026,
268,27.0,gf,0.426,mm,OK,--,3:15:22 PM,4/11/2026,
269,26.1,gf,0.428,mm,OK,--,3:15:22 PM,4/11/2026,
270,26.9,gf,0.430,mm,OK,--,3:15:22 PM,4/11/2026,
271,26.8,gf,0.431,mm,OK,--,3:15:22 PM,4/11/2026,
272,26.1,gf,0.433,mm,OK,--,3:15:22 PM,4/11/2026,
273,27.2,gf,0.434,mm,OK,--,3:15:22 PM,4/11/2026,
274,26.5,gf,0.436,mm,OK,--,3:15:22 PM,4/11/2026,
275,27.0,gf,0.438,mm,OK,--,3:15:22 PM,4/11/2026,
276,26.4,gf,0.439,mm,OK,--,3:15:22 PM,4/11/2026,
277,26.6,gf,0.441,mm,OK,--,3:15:22 PM,4/11/2026,
278,27.2,gf,0.442,mm,OK,--,3:15:22 PM,4/11/2026,
279,26.9,gf,0.444,mm,OK,--,3:15:22 PM,4/11/2026,
280,26.9,gf,0.445,mm,OK,--,3:15:22 PM,4/11/2026,
281,26.6,gf,0.447,mm,OK,--,3:15:22 PM,4/11/2026,
282,26.8,gf,0.449,mm,OK,--,3:15:22 PM,4/11/2026,
283,26.7,gf,0.450,mm,OK,--,3:15:22 PM,4/11/2026,
284,27.6,gf,0.452,mm,OK,--,3:15:22 PM,4/11/2026,
285,26.5,gf,0.453,mm,OK,--,3:15:22 PM,4/11/2026,
286,27.5,gf,0.455,mm,OK,--,3:15:22 PM,4/11/2026,
287,26.9,gf,0.457,mm,OK,--,3:15:22 PM,4/11/2026,
288,27.7,gf,0.458,mm,OK,--,3:15:22 PM,4/11/2026,
289,27.3,gf,0.460,mm,OK,--,3:15:22 PM,4/11/2026,
290,26.9,gf,0.461,mm,OK,--,3:15:22 PM,4/11/2026,
291,27.0,gf,0.463,mm,OK,--,3:15:22 PM,4/11/2026,
292,27.0,gf,0.465,mm,OK,--,3:15:22 PM,4/11/2026,
293,27.1,gf,0.466,mm,OK,--,3:15:22 PM,4/11/2026,
294,27.2,gf,0.468,mm,OK,--,3:15:22 PM,4/11/2026,
295,27.1,gf,0.469,mm,OK,--,3:15:22 PM,4/11/2026,
296,27.3,gf,0.471,mm,OK,--,3:15:22 PM,4/11/2026,
297,27.5,gf,0.473,mm,OK,--,3:15:22 PM,4/11/2026,
298,27.9,gf,0.474,mm,OK,--,3:15:22 PM,4/11/2026,
299,27.7,gf,0.476,mm,OK,--,3:15:22 PM,4/11/2026,
300,27.1,gf,0.477,mm,OK,--,3:15:22 PM,4/11/2026,
301,27.0,gf,0.479,mm,OK,--,3:15:22 PM,4/11/2026,
302,28.2,gf,0.480,mm,OK,--,3:15:22 PM,4/11/2026,
303,27.9,gf,0.482,mm,OK,--,3:15:22 PM,4/11/2026,
304,27.6,gf,0.484,mm,OK,--,3:15:22 PM,4/11/2026,
305,28.2,gf,0.485,mm,OK,--,3:15:22 PM,4/11/2026,
306,27.6,gf,0.487,mm,OK,--,3:15:22 PM,4/11/2026,
307,27.4,gf,0.488,mm,OK,--,3:15:22 PM,4/11/2026,
308,27.7,gf,0.490,mm,OK,--,3:15:22 PM,4/11/2026,
309,27.6,gf,0.492,mm,OK,--,3:15:22 PM,4/11/2026,
310,27.3,gf,0.493,mm,OK,--,3:15:22 PM,4/11/2026,
311,28.4,gf,0.495,mm,OK,--,3:15:22 PM,4/11/2026,
312,27.7,gf,0.496,mm,OK,--,3:15:22 PM,4/11/2026,
313,27.8,gf,0.498,mm,OK,--,3:15:22 PM,4/11/2026,
314,28.0,gf,0.500,mm,OK,--,3:15:22 PM,4/11/2026,
315,27.8,gf,0.501,mm,OK,--,3:15:22 PM,4/11/2026,
316,28.0,gf,0.503,mm,OK,--,3:15:22 PM,4/11/2026,
317,27.9,gf,0.504,mm,OK,--,3:15:22 PM,4/11/2026,
318,27.6,gf,0.506,mm,OK,--,3:15:22 PM,4/11/2026,
319,27.6,gf,0.507,mm,OK,--,3:15:22 PM,4/11/2026,
320,28.3,gf,0.509,mm,OK,--,3:15:22 PM,4/11/2026,
321,28.7,gf,0.511,mm,OK,--,3:15:22 PM,4/11/2026,
322,28.0,gf,0.512,mm,OK,--,3:15:22 PM,4/11/2026,
323,27.9,gf,0.514,mm,OK,--,3:15:22 PM,4/11/2026,
324,28.2,gf,0.515,mm,OK,--,3:15:22 PM,4/11/2026,
325,28.3,gf,0.517,mm,OK,--,3:15:22 PM,4/11/2026,
326,28.0,gf,0.519,mm,OK,--,3:15:22 PM,4/11/2026,
327,27.9,gf,0.520,mm,OK,--,3:15:22 PM,4/11/2026,
328,28.6,gf,0.522,mm,OK,--,3:15:22 PM,4/11/2026,
329,28.7,gf,0.523,mm,OK,--,3:15:22 PM,4/11/2026,
330,28.1,gf,0.525,mm,OK,--,3:15:22 PM,4/11/2026,
331,28.5,gf,0.527,mm,OK,--,3:15:22 PM,4/11/2026,
332,28.1,gf,0.528,mm,OK,--,3:15:22 PM,4/11/2026,
333,28.1,gf,0.530,mm,OK,--,3:15:22 PM,4/11/2026,
334,28.4,gf,0.531,mm,OK,--,3:15:22 PM,4/11/2026,
335,28.5,gf,0.533,mm,OK,--,3:15:22 PM,4/11/2026,
336,28.1,gf,0.535,mm,OK,--,3:15:22 PM,4/11/2026,
337,28.8,gf,0.536,mm,OK,--,3:15:22 PM,4/11/2026,
338,28.5,gf,0.538,mm,OK,--,3:15:22 PM,4/11/2026,
339,28.4,gf,0.539,mm,OK,--,3:15:22 PM,4/11/2026,
340,28.3,gf,0.541,mm,OK,--,3:15:22 PM,4/11/2026,
341,29.3,gf,0.542,mm,OK,--,3:15:22 PM,4/11/2026,
342,29.2,gf,0.544,mm,OK,--,3:15:22 PM,4/11/2026,
343,28.6,gf,0.546,mm,OK,--,3:15:22 PM,4/11/2026,
344,28.7,gf,0.547,mm,OK,--,3:15:22 PM,4/11/2026,
345,29.2,gf,0.549,mm,OK,--,3:15:22 PM,4/11/2026,
346,29.1,gf,0.550,mm,OK,--,3:15:22 PM,4/11/2026,
347,29.1,gf,0.552,mm,OK,--,3:15:22 PM,4/11/2026,
348,28.6,gf,0.554,mm,OK,--,3:15:22 PM,4/11/2026,
349,28.7,gf,0.555,mm,OK,--,3:15:22 PM,4/11/2026,
350,29.1,gf,0.557,mm,OK,--,3:15:22 PM,4/11/2026,
351,29.7,gf,0.558,mm,OK,--,3:15:22 PM,4/11/2026,
352,28.8,gf,0.560,mm,OK,--,3:15:22 PM,4/11/2026,
353,29.5,gf,0.562,mm,OK,--,3:15:22 PM,4/11/2026,
354,29.2,gf,0.563,mm,OK,--,3:15:22 PM,4/11/2026,
355,29.2,gf,0.565,mm,OK,--,3:15:22 PM,4/11/2026,
356,28.8,gf,0.566,mm,OK,--,3:15:22 PM,4/11/2026,
357,29.4,gf,0.568,mm,OK,--,3:15:22 PM,4/11/2026,
358,29.9,gf,0.570,mm,OK,--,3:15:22 PM,4/11/2026,
359,29.0,gf,0.571,mm,OK,--,3:15:22 PM,4/11/2026,
360,28.9,gf,0.573,mm,OK,--,3:15:22 PM,4/11/2026,
361,30.0,gf,0.574,mm,OK,--,3:15:22 PM,4/11/2026,
362,29.4,gf,0.576,mm,OK,--,3:15:22 PM,4/11/2026,
363,29.5,gf,0.578,mm,OK,--,3:15:22 PM,4/11/2026,
364,29.9,gf,0.579,mm,OK,--,3:15:22 PM,4/11/2026,
