Maximum,118.0,@,No.1136,,,,,,
87,39.7,gf,1.110,mm,OK,--,,,
88,40.8,gf,1.160,mm,OK,--,,,
89,42.0,gf,1.210,mm,OK,--,,,
90,43.1,gf,1.260,mm,OK,--,,,
91,44.2,gf,1.310,mm,OK,--,,,
92,45.3,gf,1.360,mm,OK,--,,,
93,46.4,gf,1.410,mm,OK,--,,,
94,47.6,gf,1.460,mm,OK,--,,,
95,48.7,gf,1.510,mm,OK,--,,,
96,49.8,gf,1.560,mm,OK,--,,,
97,50.9,gf,1.610,mm,OK,--,,,
98,52.0,gf,1.660,mm,OK,--,,,
99,53.2,gf,1.710,mm,OK,--,,,
100,54.3,gf,1.760,mm,OK,--,,,
101,55.4,gf,1.810,mm,OK,--,,,
102,56.5,gf,1.860,mm,OK,--,,,
103,57.6,gf,1.910,mm,OK,--,,,
104,58.8,gf,1.960,mm,OK,--,,,
105,59.9,gf,2.010,mm,OK,--,,,
106,61.0,gf,2.060,mm,OK,--,,,
107,62.1,gf,2.110,mm,OK,--,,,
108,63.2,gf,2.160,mm,OK,--,,,
109,64.4,gf,2.210,mm,OK,--,,,
110,65.5,gf,2.260,mm,OK,--,,,
111,66.6,gf,2.310,mm,OK,--,,,
112,67.7,gf,2.360,mm,OK,--,,,
113,68.8,gf,2.410,mm,OK,--,,,
114,70.0,gf,2.460,mm,OK,--,,,
115,71.1,gf,2.510,mm,OK,--,,,
116,72.2,gf,2.560,mm,OK,--,,,
117,73.3,gf,2.610,mm,OK,--,,,
118,74.4,gf,2.660,mm,OK,--,,,
119,75.6,gf,2.710,mm,OK,--,,,
120,76.7,gf,2.760,mm,OK,--,,,
121,77.8,gf,2.810,mm,OK,--,,,
122,78.9,gf,2.860,mm,OK,--,,,
123,80.0,gf,2.910,mm,OK,--,,,
124,81.2,gf,2.960,mm,OK,--,,,
125,82.3,gf,3.010,mm,OK,--,,,
126,83.4,gf,3.060,mm,OK,--,,,
127,84.5,gf,3.110,mm,OK,--,,,
128,85.6,gf,3.160,mm,OK,--,,,
129,86.8,gf,3.210,mm,OK,--,,,
130,87.9,gf,3.260,mm,OK,--,,,
131,89.0,gf,3.310,mm,OK,--,,,
132,90.1,gf,3.360,mm,OK,--,,,
133,91.2,gf,3.410,mm,OK,--,,,
134,92.4,gf,3.460,mm,OK,--,,,
135,93.5,gf,3.510,mm,OK,--,,,
136,94.6,gf,3.560,mm,OK,--,,,
137,95.7,gf,3.610,mm,OK,--,,,
138,96.8,gf,3.660,mm,OK,--,,,
139,98.0,gf,3.710,mm,OK,--,,,
140,99.1,gf,3.760,mm,OK,--,,,
141,100.0,gf,3.800,mm,OK,--,,,
142,98.4,gf,3.737,mm,OK,--,,,
143,96.8,gf,3.674,mm,OK,--,,,
144,95.2,gf,3.611,mm,OK,--,,,
145,93.6,gf,3.548,mm,OK,--,,,
146,92.0,gf,3.485,mm,OK,--,,,
147,90.4,gf,3.422,mm,OK,--,,,
148,88.8,gf,3.359,mm,OK,--,,,
149,87.2,gf,3.296,mm,OK,--,,,
150,85.6,gf,3.233,mm,OK,--,,,
151,84.0,gf,3.170,mm,OK,--,,,
152,82.4,gf,3.107,mm,OK,--,,,
153,80.8,gf,3.044,mm,OK,--,,,
154,79.2,gf,2.981,mm,OK,--,,,
155,77.6,gf,2.918,mm,OK,--,,,
156,76.0,gf,2.855,mm,OK,--,,,
157,74.4,gf,2.792,mm,OK,--,,,
158,72.8,gf,2.729,mm,OK,--,,,
159,71.2,gf,2.666,mm,OK,--,,,
160,69.6,gf,2.603,mm,OK,--,,,
161,68.0,gf,2.540,mm,OK,--,,,
162,66.4,gf,2.477,mm,OK,--,,,
163,64.8,gf,2.414,mm,OK,--,,,
164,63.2,gf,2.351,mm,OK,--,,,
165,61.6,gf,2.288,mm,OK,--,,,
166,60.0,gf,2.225,mm,OK,--,,,
167,58.4,gf,2.162,mm,OK,--,,,
168,56.8,gf,2.099,mm,OK,--,,,
169,55.2,gf,2.036,mm,OK,--,,,
170,53.6,gf,1.973,mm,OK,--,,,
171,52.0,gf,1.910,mm,OK,--,,,
172,50.4,gf,1.847,mm,OK,--,,,
173,48.8,gf,1.784,mm,OK,--,,,
174,47.2,gf,1.721,mm,OK,--,,,
175,45.6,gf,1.658,mm,OK,--,,,
176,44.0,gf,1.595,mm,OK,--,,,
177,42.4,gf,1.532,mm,OK,--,,,
178,40.8,gf,1.469,mm,OK,--,,,
179,39.2,gf,1.406,mm,OK,--,,,
180,37.6,gf,1.343,mm,OK,--,,,
181,36.0,gf,1.280,mm,OK,--,,,
182,34.4,gf,1.217,mm,OK,--,,,
183,32.8,gf,1.154,mm,OK,--,,,
184,31.2,gf,1.091,mm,OK,--,,,
185,29.6,gf,1.028,mm,OK,--,,,
186,28.0,gf,0.965,mm,OK,--,,,
187,26.4,gf,0.902,mm,OK,--,,,
188,24.8,gf,0.839,mm,OK,--,,,
189,23.2,gf,0.776,mm,OK,--,,,
190,21.6,gf,0.713,mm,OK,--,,,
191,20.0,gf,0.650,mm,OK,--,,,
192,18.4,gf,0.587,mm,OK,--,,,
193,16.8,gf,0.524,mm,OK,--,,,
194,15.2,gf,0.461,mm,OK,--,,,
195,13.6,gf,0.398,mm,OK,--,,,
196,12.0,gf,0.335,mm,OK,--,,,
197,10.4,gf,0.272,mm,OK,--,,,
198,8.8,gf,0.209,mm,OK,--,,,
199,7.2,gf,0.146,mm,OK,--,,,
200,5.6,gf,0.083,mm,OK,--,,,
